time,average_usage
1.45784E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45786E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45787E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45788E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45788E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45788E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45788E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45788E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45788E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45789E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.4579E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45791E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45792E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45792E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45792E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45792E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45792E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
